Strategy,Flux,Biomass,N_of_deletions,C_limit
"['RNDR4', 'PPA', 'DCTPD']",0.2057410048710227,0.0105633453431763,3,10
"['RNDR4', 'SBP', 'DCTPD']",0.2057409459933979,0.0105633453431763,3,10
"['ALAGLUE', 'DCTPD', 'RNDR4']",0.2057413735986741,0.0105633453431763,3,10
"['RNDR4', 'FBP', 'DCTPD']",0.2057413147248546,0.0105633453431763,3,10
"['FDH6', 'GART', 'PPKr']",0.2057413735937669,0.0105633453431763,3,10
"['RNDR4', 'PPA', 'GLCS3', 'DCTPD']",0.2057409884566109,0.0105633453418196,4,10
"['RNDR4', 'NDPK6', 'ANS', 'FDH6']",0.2057404227867551,0.0105633453431763,4,10
"['RNDR4', 'NDPK6', 'AMPTASECG', 'PPKr']",0.2057399999999999,0.0105633453431763,4,10
"['RNDR4', 'NDPK6', 'GLYCOX2', 'G6PDH2r']",0.2057406797869581,0.0105633453431763,4,10
"['RNDR4', 'NDPK6', 'ACGAMK', 'VPAMTr']",0.2057399999999999,0.0105633453431763,4,10
"['RNDR4', 'TALA', 'GLUSfx', 'DCTPD']",0.2057412935732663,0.0105633453418196,4,10
"['RNDR4', 'NDPK6', 'AGDC', 'AMPTASECG']",0.2057399999997978,0.0105633453431763,4,10
"['RNDR4', 'GLCS3', 'TALA', 'DCTPD']",0.2057405832656801,0.0105633453431763,4,10
"['RNDR4', 'NDPK6', 'AGDC', 'FBA']",0.2057401351314209,0.0105633453431763,4,10
"['RNDR4', 'PGL', 'FNOR', 'NDPK6']",0.2057405832713616,0.0105633453406387,4,10
"['RNDR4', 'NDPK6', 'PPA']",0.2057409248423268,0.0105633453418196,3,10
"['RNDR4', 'G6PDH2r', 'TRDRf', 'DCTPD']",0.2057400540784079,0.0105633453312017,4,10
"['RNDR4', 'ACKr', 'LALGP', 'DCTPD']",0.2057416893312382,0.0105633453431763,4,10
"['RNDR4', 'PYK', 'FNOR', 'NDPK6']",0.2057405832654283,0.0105633453431763,4,10
"['RNDR4', 'NDPK6', 'FNOR', 'PGL']",0.2057421767758885,0.0105633453431763,4,10
"['RNDR4', 'GLYCOX2', 'ACGAMK', 'DCTPD']",0.205740791520688,0.0105633453418196,4,10
"['RNDR4', 'NDPK6', 'PSERT', 'AMPTASECG']",0.2057414372192934,0.0105633453418196,4,10
"['RNDR4', 'NDPK6', 'GND', 'GLUSfx']",0.2057415505692993,0.0105633453406387,4,10
"['RNDR4', 'FBP', 'VALTA', 'DCTPD']",0.2057405969661679,0.0105633453406387,4,10
"['RNDR4', 'TRDR', 'FBP', 'DCTPD']",0.2057413147256701,0.0105633453431763,4,10
"['PSERT', 'G6PDH2r', 'ALAD_L', 'VALTA']",0.1962126321990658,0.0149660747723565,4,10
"['G6PDH2r', 'ALAD_L', 'PGCD', 'VALTA']",0.1962143365805749,0.0149660747723492,4,10
"['PSP_L', 'ALAD_L', 'G6PDH2r', 'VALTA']",0.1962149479455449,0.0149660747723565,4,10
"['GND', 'ALAD_L', 'PGCD', 'VALTA']",0.1962142225989222,0.0149660747723656,4,10
"['PSERT', 'GND', 'ALAD_L', 'VALTA']",0.196214233284712,0.014966074772356,4,10
"['PSP_L', 'ALAD_L', 'VALTA', 'GND']",0.1962139424930073,0.0149660747723747,4,10
"['AGDC', 'PSP_L', 'ALAD_L', 'GND']",0.1896125745351772,0.0180166847321643,4,10
"['G6PDH2r', 'ALAD_L', 'PGCD', 'GND']",0.1896111833268024,0.0180166847321721,4,10
"['PSP_L', 'ALAD_L', 'G6PDH2r', 'VPAMTr']",0.1896123008197126,0.0180166847321582,4,10
"['AGDC', 'GND', 'ALAD_L', 'PGCD']",0.1896113421007942,0.0180166847321926,4,10
"['RNDR4', 'ME2', 'ALAD_L', 'DCTPD']",0.2057411001932342,0.0105633453418196,4,10
"['RNDR4', 'PGL', 'AGTi', 'NDPK6']",0.2057399999999982,0.0105633453431763,4,10
"['RNDR4', 'PEPC', 'PYK', 'NDPK6']",0.2057409656975577,0.0105633453406387,4,10
"['RNDR4', 'PYK', 'G6PDH2r', 'DCTPD']",0.2057404227969262,0.0105633453406387,4,10
"['RNDR4', 'ME2', 'AGDC', 'NDPK6']",0.2057412819744214,0.0105633453418196,4,10
